geo,time,edu_cned_14,teaching_mode,plan,fp_ciclos,value
España,2012-2013,Total FP,Todas las modalidades,LOE,Todas las familias,6587
España,2012-2013,Total FP,Todas las modalidades,LOE,"Servicios personales, socioculturales y a la comunidad",2107
España,2012-2013,Total FP,Todas las modalidades,LOE,Servicios a la empresa,7652
España,2012-2013,Total FP,Todas las modalidades,LOE,"Agricultura, pesca, extracción y energía",9726
España,2012-2013,Total FP,Todas las modalidades,LOE,"Comercio, transporte y reparación de vehículos",1260
España,2012-2013,Total FP,Todas las modalidades,LOE,Construcción,9025
España,2012-2013,Total FP,Todas las modalidades,LOE,Industria,2191
España,2012-2013,Total FP,Todas las modalidades,LOE,Hostelería,9299
España,2012-2013,Total FP,Todas las modalidades,LOE,Actividades sanitarias,4119
España,2012-2013,Total FP,Todas las modalidades,LOE,Familias STEM,5856
España,2012-2013,Total FP,Todas las modalidades,LOE,Familias Industriales,4297
España,2012-2013,Total FP,Todas las modalidades,LOE,Familias ni Industriales ni STEM,4393
España,2012-2013,Total FP,Todas las modalidades,LOE,Vidrio y Cerámica,9482
España,2012-2013,Total FP,Todas las modalidades,LOE,No distribuido por familia profesional,4796
España,2012-2013,Total FP,Todas las modalidades,LOE,Transporte y Mantenimiento de Vehículos,8720
España,2012-2013,Total FP,Todas las modalidades,LOE,"Textil, Confección y Piel",7638
España,2012-2013,Total FP,Todas las modalidades,LOE,Servicios Socioculturales y a la Comunidad,918
España,2012-2013,Total FP,Todas las modalidades,LOE,Seguridad y Medio Ambiente,7149
España,2012-2013,Total FP,Todas las modalidades,LOE,Sanidad,7381
España,2012-2013,Total FP,Todas las modalidades,LOE,Química,6035
España,2012-2013,Total FP,Todas las modalidades,LOE,Marítimo-Pesquera,9351
España,2012-2013,Total FP,Todas las modalidades,LOE,"Madera, Mueble y Corcho",1103
España,2012-2013,Total FP,Todas las modalidades,LOE,Instalación y Mantenimiento,2925
España,2012-2013,Total FP,Todas las modalidades,LOE,Informática y Comunicaciones,5536
España,2012-2013,Total FP,Todas las modalidades,LOE,Industrias Extractivas,139
España,2012-2013,Total FP,Todas las modalidades,LOE,Industrias Alimentarias,2555
España,2012-2013,Total FP,Todas las modalidades,LOE,Imagen y Sonido,948
España,2012-2013,Total FP,Todas las modalidades,LOE,Imagen Personal,1117
España,2012-2013,Total FP,Todas las modalidades,LOE,Hostelería y Turismo,1233
España,2012-2013,Total FP,Todas las modalidades,LOE,Fabricación Mecánica,7562
España,2012-2013,Total FP,Todas las modalidades,LOE,Energía y Agua,7048
España,2012-2013,Total FP,Todas las modalidades,LOE,Electricidad y Electrónica,9628
España,2012-2013,Total FP,Todas las modalidades,LOE,Edificación y Obra Civil,6020
España,2012-2013,Total FP,Todas las modalidades,LOE,Comercio y Marketing,5265
España,2012-2013,Total FP,Todas las modalidades,LOE,Artes y Artesanías,9657
España,2012-2013,Total FP,Todas las modalidades,LOE,Artes Gráficas,3556
España,2012-2013,Total FP,Todas las modalidades,LOE,Agraria,2377
España,2012-2013,Total FP,Todas las modalidades,LOE,Administración y Gestión,3436
España,2012-2013,Total FP,Todas las modalidades,LOE,Actividades Físicas y Deportivas,6291
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Todas las familias,84
España,2012-2013,Total FP,Todas las modalidades,LOGSE,"Servicios personales, socioculturales y a la comunidad",5803
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Servicios a la empresa,1455
España,2012-2013,Total FP,Todas las modalidades,LOGSE,"Agricultura, pesca, extracción y energía",1835
España,2012-2013,Total FP,Todas las modalidades,LOGSE,"Comercio, transporte y reparación de vehículos",407
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Construcción,6823
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Industria,9393
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Hostelería,5877
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Actividades sanitarias,6655
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Familias STEM,23
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Familias Industriales,1637
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Familias ni Industriales ni STEM,2613
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Vidrio y Cerámica,4982
España,2012-2013,Total FP,Todas las modalidades,LOGSE,No distribuido por familia profesional,9643
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Transporte y Mantenimiento de Vehículos,905
España,2012-2013,Total FP,Todas las modalidades,LOGSE,"Textil, Confección y Piel",718
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Servicios Socioculturales y a la Comunidad,6789
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Seguridad y Medio Ambiente,8237
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Sanidad,9576
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Química,3102
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Marítimo-Pesquera,5606
España,2012-2013,Total FP,Todas las modalidades,LOGSE,"Madera, Mueble y Corcho",4000
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Instalación y Mantenimiento,7928
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Informática y Comunicaciones,7129
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Industrias Extractivas,9920
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Industrias Alimentarias,3710
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Imagen y Sonido,4931
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Imagen Personal,4039
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Hostelería y Turismo,3256
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Fabricación Mecánica,3596
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Energía y Agua,3762
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Electricidad y Electrónica,5063
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Edificación y Obra Civil,5422
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Comercio y Marketing,1318
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Artes y Artesanías,6258
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Artes Gráficas,1815
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Agraria,1941
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Administración y Gestión,6411
España,2012-2013,Total FP,Todas las modalidades,LOGSE,Actividades Físicas y Deportivas,5799
España,2012-2013,Total FP,Presencial,LOE,Todas las familias,6638
España,2012-2013,Total FP,Presencial,LOE,"Servicios personales, socioculturales y a la comunidad",2958
España,2012-2013,Total FP,Presencial,LOE,Servicios a la empresa,7151
España,2012-2013,Total FP,Presencial,LOE,"Agricultura, pesca, extracción y energía",3599
